"name","beta","mean"
"chronAge",0.00747722443769256,720.948742746615
"PC1",0.260781606264481,3.86941232228663
"PC2",0.0551195076190211,0.796434223156434
"PC4",0.0656256167896601,0.346581801170861
"PC6",0.0805784376413093,-0.117856994586452
"PC11",0.0788919815539022,-0.0344073056008586
"PC13",0.176181600323889,-0.118160249307777
"PC20",0.191644292061051,-0.0491032302978031
"PC22",0.137609730369277,0.0415321478532274
"PC23",0.100666037140424,0.0626871860857638
"PC24",0.11920291493635,0.0205135719718932
"PC28",0.146986710723461,-0.00439400211439193
"PC31",0.110911010968626,0.0219459542623249
"PC32",0.189705415583858,0.0119624389461133
"PC35",0.220054923625416,-0.0038690254789171
"PC37",0.141307590409866,0.0307808863324397
"PC38",0.125354947864297,0.036563332404154
"PC39",0.14638306033488,-0.00576732285794423
