"name","beta","mean"
"chronAge",0.00542203775725709,727.950191570881
"PC1",0.179843792664855,3.63742432639779
"PC2",0.0341744088846444,0.331870920920338
"PC5",0.1333414419894,0.28228994966306
"PC6",0.0693078049722345,0.193198802031698
"PC8",0.0492218846290468,-0.0726141733953927
"PC11",0.11561636856315,-0.0417102676004169
"PC15",0.0681598672904131,-0.105298681310844
"PC16",0.0739918310510395,0.0334728889162244
"PC17",0.103159685375185,0.144678460354109
"PC19",0.0778959673764657,-0.0114878958166248
"PC24",0.101245257204901,0.0185042849152896
"PC25",0.0769867649683439,0.0117396690395812
"PC27",0.103264002196735,0.0331796792568313
"PC31",0.132655941089741,-0.0410544145390091
"PC33",0.119860552624885,0.0312514965657742
"PC36",0.101175454665795,0.0526500181565047
"PC42",0.171169866077737,0.0343386376434167
